lemma,reading,first_char,last_char
〆切,シメキリ,シ,リ
〇,レイ,レ,イ
〇〇,マルマル,マ,ル
（株）,カブシキガイシャ,カ,ヤ
（財）,ザイダンホウジン,サ,ン
（社）,シャダンホウジン,シ,ン
（有）,ユウゲンガイシャ,ユ,ヤ
％,パーセント,ハ,ト
○,レイ,レ,イ
Å,オングストローム,オ,ム
１,イチ,イ,チ
１０月,ジュウガツ,シ,ツ
１１０番,ヒャクトオバン,ヒ,ン
１１月,ジュウイチガツ,シ,ツ
１２月,ジュウニガツ,シ,ツ
１つ,ヒトツ,ヒ,ツ
１月,イチガツ,イ,ツ
１番,イチバン,イ,ン
２,ニ,ニ,ニ
２つ,フタツ,フ,ツ
２ラン,ツーラン,ツ,ン
２月,ニガツ,ニ,ツ
３,サン,サ,ン
３つ,ミッツ,ミ,ツ
３ラン,スリーラン,ス,ン
３月,サンガツ,サ,ツ
４,ヨン,ヨ,ン
４ＷＤ,ヨンダブリューディー,ヨ,イ
４つ,ヨッツ,ヨ,ツ
４月,シガツ,シ,ツ
５,ゴ,コ,コ
５つ,イツツ,イ,ツ
５月,ゴガツ,コ,ツ
６,ロク,ロ,ク
６つ,ムッツ,ム,ツ
６月,ロクガツ,ロ,ツ
６大学野球,ロクダイガクヤキュウ,ロ,ウ
７,ナナ,ナ,ナ
７つ,ナナツ,ナ,ツ
７月,シチガツ,シ,ツ
８,ハチ,ハ,チ
８つ,ヤッツ,ヤ,ツ
８ミリ,ハチミリ,ハ,リ
８ミリビデオ,ハチミリビデオ,ハ,オ
８ミリビデオカメラ,ハチミリビデオカメラ,ハ,ラ
８月,ハチガツ,ハ,ツ
８耐,ハチタイ,ハ,イ
９,キュウ,キ,ウ
９つ,ココノツ,コ,ツ
９月,クガツ,ク,ツ
Ａ５,エイゴ,エ,コ
ＡＤ,エイディー,エ,イ
ＡＴ,エイティー,エ,イ
ＡＴＭ,エイティーエム,エ,ム
ＡＴＯ,エイティーオー,エ,オ
ＡＴＳ,エイティーエス,エ,ス
ＡＵＴＵＭＮ,オータム,オ,ム
ＡＶ,エイブイ,エ,イ
ＡＺＴ,エイゼットティー,エ,イ
Ｂ―ＩＳＤＮ,ビーアイエスディーエヌ,ヒ,ヌ
Ｂ４判,ビーヨンバン,ヒ,ン
Ｂ５,ビーゴ,ヒ,コ
Ｂ５判,ビーゴバン,ヒ,ン
ＢＡＲ,ビーエイアール,ヒ,ル
ＢＢＳ,ビービーエス,ヒ,ス
ＢＣ,ビーシー,ヒ,シ
ＢＣＧ,ビーシージー,ヒ,シ
ＢＧ,ビージー,ヒ,シ
ＢＧＭ,ビージーエム,ヒ,ム
ＢＯＤＹ,ボディー,ホ,イ
ＢＯＸ,ボックス,ホ,ス
ＢＳ,ビーエス,ヒ,ス
Ｂｏｘ,ボックス,ホ,ス
ＣＡＬ,シーエイエル,シ,ル
ＣＡＴＶ,シーエイティーブイ,シ,イ
ＣＣ,シーシー,シ,シ
ＣＣ,シーシー,シ,シ
ＣＣＤ,シーシーディー,シ,イ
ＣＤ,シーディー,シ,イ
ＣＤ―ＲＯＭ,シーディーロム,シ,ム
ＣＧ,シージー,シ,シ
ＣＧＳ単位,シージーエスタンイ,シ,イ
ＣＩ,シーアイ,シ,イ
ＣＩＭ,シム,シ,ム
ＣＫ,シーケイ,シ,イ
ＣＭ,シーエム,シ,ム
ＣＯ２,シーオーツー,シ,ツ
ＣＯＤ,シーオーディー,シ,イ
ＣＰＵ,シーピーユー,シ,ユ
ＣＲ,シーアール,シ,ル
ＣＳ,シーエス,シ,ス
ＣＴＢ,シーティービー,シ,ヒ
Ｃ型肝炎,シーガタカンエン,シ,ン
ＤＡＴＥ,デイト,テ,ト
ＤＢ,ディービー,テ,ヒ
ＤＤＴ,ディーディーティー,テ,イ
ＤＦ,ディーエフ,テ,フ
ＤＩＮＫＳ,ディンクス,テ,ス
ＤＪ,ディージェイ,テ,イ
ＤＫ,ディーケイ,テ,イ
ＤＮＡ,ディーエヌエイ,テ,イ
ＤＯ,ディーオー,テ,オ
ＤＲＡＭ,ディーラム,テ,ム
ＤＴ,ディーティー,テ,イ
Ｄｏ,ドゥー,ト,ウ
Ｆ,エフ,エ,フ
Ｆ１,エフワン,エ,ン
Ｆ３０００,エフサンゼン,エ,ン
Ｆ４,エフヨン,エ,ン
ＦＡ,エフエイ,エ,イ
ＦＡＣＥ,フェイス,フ,ス
ＦＡＸ,ファックス,フ,ス
ＦＢ,エフビー,エ,ヒ
ＦＥＳＴＩＶＡＬ,フェスティバル,フ,ル
ＦＦ,エフエフ,エ,フ
ＦＧ,エフジー,エ,シ
ＦＫ,エフケイ,エ,イ
ＦＭ,エフエム,エ,ム
ＦＯＭＣ,エフオーエムシー,エ,シ
ＦＯＵＲ,フォー,フ,オ
ＦＳ,エフエス,エ,ス
ＦＵ,エフユー,エ,ユ
ＦＷ,エフダブリュー,エ,ユ
Ｇ,ギガ,キ,カ
Ｇ１,ジーワン,シ,ン
Ｇ７プラス１,ジーセブンプラスワン,シ,ン
ＧＢ,ギガバイト,キ,ト
ＧＣ,ジーシー,シ,シ
ＧＤＰ,ジーディーピー,シ,ヒ
ＧＩ,ジーアイ,シ,イ
ＧＫ,ジーケイ,シ,イ
ＧＮＰ,ジーエヌピー,シ,ヒ
ＧＷ,ゴールデンウィーク,コ,ク
Ｇバイト,ギガバイト,キ,ト
Ｈｉ８,ハイエイト,ハ,ト
ＩＣ,アイシー,ア,シ
ＩＤ,アイディー,ア,イ
ＩＲ,アイアール,ア,ル
ＩＳＤＮ,アイエスディーエヌ,ア,ヌ
Ｉｃｅ,アイス,ア,ス
ＪＩＳマーク,ジスマーク,シ,ク
Ｊｒ,ジュニア,シ,ア
Ｊフェザー,ジュニアフェザー,シ,サ
ＫＯ,ケイオー,ケ,オ
Ｋｅｙ,キー,キ,キ
ＬＡＮ,ラン,ラ,ン
ＬＢ,エルビー,エ,ヒ
ＬＤ,エルディー,エ,イ
ＬＤＫ,エルディーケイ,エ,イ
ＬＰ,エルピー,エ,ヒ
ＬＰレコード,エルピーレコード,エ,ト
ＬＳＤ,エルエスディー,エ,イ
ＬＳＩ,エルエスアイ,エ,イ
Ｍ,メガ,メ,カ
ＭＦ,エムエフ,エ,フ
ＭＦＮ,エムエフエヌ,エ,ヌ
ＭＩＳ,エムアイエス,エ,ス
ＭＫＳＡ単位系,エムケイエスエイタンイケイ,エ,イ
ＭＬＲＳ,エムエルアールエス,エ,ス
ＭＭＦ,エムエムエフ,エ,フ
ＭＰＵ,エムピーユー,エ,ユ
ＭＲＩ,エムアールアイ,エ,イ
ＭＲＳＡ,エムアールエスエイ,エ,イ
ＭＲＴＡ,エムアールティーエイ,エ,イ
ＭＴＢ,エムティービー,エ,ヒ
ＭＶＰ,エムブイピー,エ,ヒ
Ｍｂ,メガバイト,メ,ト
Ｍｕｓｉｃ,ミュージック,ミ,ク
Ｍバイト,メガバイト,メ,ト
Ｍヘルツ,メガヘルツ,メ,ツ
ＮＥＴ,ネット,ネ,ト
